,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
312,73_13,0.154,0.154,0.295,0.538,0.7039,0.8464,0.963
313,73_14,0.0859,0.0859,0.171,0.257,0.4031,0.514,0.7
314,73_15,0.2,0.2,0.2,0.362,0.488,0.575,0.6885
315,73_16,0.083,0.083,0.083,0.167,0.225,0.25,0.4399
316,73_18,0.205,0.6096,0.7774,0.8876,0.9282,0.9422,0.9444
317,73_20,0.12,0.4343,0.6095,0.7856,0.8376,0.8548,0.8635
318,73_21,0.106,0.4941,0.6775,0.8432,0.904,0.9284,0.9365
319,73_25,0.057,0.057,0.057,0.114,0.171,0.229,0.3635
320,73_28,0.107,0.4046,0.5729,0.7446,0.8345,0.8928,0.9275
321,73_29,0.327,0.6038,0.7452,0.835,0.8789,0.907,0.929
322,74_14,0.222,0.222,0.381,0.489,0.5897,0.635,0.709
323,74_16,0.139,0.139,0.139,0.25,0.308,0.333,0.463
324,74_17,0.271,0.5927,0.7061,0.7934,0.8501,0.8888,0.9105
325,74_18,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
326,74_26,0.114,0.2042,0.289,0.453,0.5677,0.64,0.7315
327,74_27,0.056,0.056,0.111,0.211,0.278,0.3666,0.518
328,74_28,0.065,0.3053,0.4842,0.6534,0.7394,0.7782,0.796
329,74_29,0.167,0.3784,0.5409,0.6568,0.7212,0.7632,0.7985
330,74_7,0.267,0.267,0.45,0.658,0.7522,0.838,0.9415
331,75_14,0.067,0.067,0.067,0.133,0.2,0.267,0.4215
332,75_16,0.242,0.242,0.4089,0.598,0.6837,0.7616,0.8645
333,75_20,0.114,0.2947,0.4846,0.6732,0.746,0.7914,0.828
334,75_29,0.25,0.25,0.25,0.417,0.475,0.5,0.64
335,75_30,0.383,0.5625,0.6548,0.7428,0.8067,0.8698,0.9484
336,75_7,0.253,0.3888,0.4689,0.5532,0.608,0.643,0.681
337,75_8,0.429,0.429,0.429,0.5709,0.5709,0.5709,0.6915
338,76_28,0.117,0.3613,0.508,0.647,0.6916,0.7031,0.707
339,76_30,0.309,0.4876,0.5978,0.7156,0.7891,0.8582,0.9445
340,76_7,0.228,0.8369,0.9092,0.9452,0.9611,0.9728,0.9795
341,77_1,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
342,77_14,0.15,0.15,0.15,0.3,0.45,0.6,0.873
343,77_28,0.163,0.3607,0.4693,0.5874,0.6689,0.7366,0.7925
344,77_29,0.631,0.9005,0.9124,0.93,0.9413,0.9476,0.9495
345,77_31,0.333,0.333,0.333,0.583,0.6998,0.75,0.9075
346,77_6,0.295,0.5794,0.7404,0.8374,0.8898,0.9184,0.937
347,78_12,0.161,0.5075,0.6257,0.7306,0.7985,0.8466,0.8765
348,78_13,0.237,0.6314,0.7525,0.8392,0.8766,0.8994,0.914
349,78_22,0.261,0.4282,0.545,0.703,0.8106,0.87,0.937
350,78_30,0.0709,0.0709,0.0709,0.1429,0.1926,0.214,0.3804
351,78_5,0.323,0.7206,0.8606,0.9436,0.9668,0.9746,0.977
352,78_6,0.279,0.9655,0.9874,0.9938,0.995,0.996,0.996
353,79_11,0.131,0.2402,0.3351,0.505,0.6524,0.735,0.8165
354,79_12,0.136,0.136,0.263,0.4656,0.584,0.7188,0.886
355,79_16,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
356,79_5,0.383,0.6661,0.7889,0.9042,0.9392,0.9528,0.958
357,79_6,0.175,0.5789,0.7569,0.8912,0.9369,0.9574,0.9665
358,79_7,0.362,0.9368,0.9543,0.9696,0.9774,0.9816,0.983
359,79_8,0.413,0.6258,0.8277,0.9178,0.9381,0.941,0.9464
360,8_34,0.19,0.19,0.3358,0.4592,0.59,0.667,0.7725
361,80_10,0.096,0.2532,0.4327,0.623,0.743,0.807,0.843
362,80_8,0.299,0.8498,0.9109,0.9498,0.9671,0.9766,0.981
363,80_9,0.189,0.7068,0.8131,0.9028,0.9372,0.9554,0.9645
364,81_15,0.352,0.6222,0.7472,0.8406,0.8748,0.8936,0.907
365,81_3,0.125,0.125,0.241,0.4264,0.536,0.6592,0.82
366,81_32,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
367,81_8,0.35,0.35,0.35,0.5,0.5349,0.55,0.664
368,82_11,0.167,0.167,0.167,0.333,0.4498,0.5,0.8149
369,82_15,0.2859,0.2859,0.2859,0.5,0.6,0.643,0.794
370,82_19,0.303,0.303,0.4938,0.627,0.739,0.788,0.855
371,82_3,0.0709,0.0709,0.1429,0.214,0.3356,0.429,0.5895
372,83_0,0.161,0.3849,0.5257,0.6728,0.7383,0.7716,0.786
373,83_11,0.179,0.7866,0.8779,0.9354,0.9568,0.9714,0.9795
374,83_20,0.292,0.6709,0.7953,0.8844,0.9213,0.9446,0.958
375,83_3,0.292,0.292,0.4639,0.5766,0.667,0.708,0.8009
376,83_33,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
377,83_4,0.241,0.5747,0.7146,0.8252,0.8609,0.8736,0.877
378,83_9,0.382,0.382,0.382,0.471,0.5325,0.559,0.746
379,84_0,0.114,0.3669,0.5373,0.7358,0.8429,0.913,0.956
380,84_1,0.367,0.5569,0.6633,0.7636,0.815,0.8578,0.915
381,84_12,0.227,0.227,0.406,0.6228,0.714,0.7822,0.847
382,84_20,0.333,0.5201,0.6335,0.7456,0.807,0.848,0.913
383,84_3,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
384,84_4,0.243,0.7596,0.8617,0.9106,0.9308,0.9438,0.95
385,84_5,0.227,0.4982,0.6885,0.8108,0.8817,0.9288,0.9635
386,84_7,0.167,0.167,0.167,0.333,0.4498,0.5,0.8149
